"","Genotype","N.dosages","Inoculant","X.1_mean","X_mean","V8.Plant.Biomass_mean","V8.N.Concentration_mean","V8.Plant.N.Content_mean","VT.Plant.Biomass_mean","VT.N.Conc_mean","VT.Plant.N.Content_mean","Grain.Oil_mean","Grain.Protein_mean","Grain.N.concentration_mean","Grain.Starch_mean","N.uptake_mean","Rep_mean","X.1_sd","X_sd","V8.Plant.Biomass_sd","V8.N.Concentration_sd","V8.Plant.N.Content_sd","VT.Plant.Biomass_sd","VT.N.Conc_sd","VT.Plant.N.Content_sd","Grain.Oil_sd","Grain.Protein_sd","Grain.N.concentration_sd","Grain.Starch_sd","N.uptake_sd","Rep_sd","X.1_se","X_se","V8.Plant.Biomass_se","V8.N.Concentration_se","V8.Plant.N.Content_se","VT.Plant.Biomass_se","VT.N.Conc_se","VT.Plant.N.Content_se","Grain.Oil_se","Grain.Protein_se","Grain.N.concentration_se","Grain.Starch_se","N.uptake_se","Rep_se"
"1","B73",0,"None",11.75,15.5,433.116054875,3.29,14.215180125,4621.54756475,1.4125,65.31753375,3.6,6.85,42.8125,71.525,1241033.14125,2.75,8.30160627027485,10.8781125813871,108.543868782905,0.0983192080250175,3.43256385690124,235.251621255231,0.204185373292669,9.74446774782267,0.231948270094864,0.129099444873581,0.806871530459878,0.394757309410896,185144.887208631,1.5,1.53320775548473,1.82189952010261,2.48943467713644,0.02713239279609,0.433099834820302,1.7238361750739,0.0861458632366281,0.620668899009691,0.060576351675578,0.0246646597951869,0.0616616494879674,0.0233120606079547,85.5533036285573,0.488011644009738
"2","B73",0,"Proven",11.3333333333333,14.6666666666667,476.802117666667,3.15666666666667,15.01939,4644.61559166667,1.30333333333333,59.3676883333333,3.54333333333333,7.16666666666667,44.7916666666667,71.7333333333333,1127986.07833333,2.66666666666667,8.02080627701064,11.060440015358,63.7390413300932,0.187705443004014,1.99822753947636,759.252920401829,0.368962509387246,12.5140949070252,0.0750555349946513,0.321455025366432,2.0090939085402,0.450924975282292,237767.803233478,1.52752523165195,1.33547703015162,1.67446934199864,1.48673987587327,0.0533003176591957,0.256362771747765,5.53796375299387,0.159124962720299,0.841556887552004,0.0198765502653566,0.0604012916090432,0.151003229022608,0.0266158801986247,116.000611656741,0.517638090205042
"3","B73",67,"None",14,18.3333333333333,449.939079333333,3.47666666666667,15.602232,5111.587855,1.76666666666667,89.8548083333333,3.14,7.83333333333333,48.9583333333333,71.7,1707241.35833333,1.33333333333333,6.557438524302,8.62167810425171,46.8908455964664,0.15373136743467,1.29228706858006,655.743159145073,0.172433562085034,9.34706467748343,0.175214154679352,0.45092497528229,2.81828109551431,0.360555127546394,177594.228872185,0.577350269189626,0.931017649698865,1.07750098101118,1.11708344765015,0.0414863701993125,0.165538739735256,4.60284694176718,0.0653921263039037,0.495890226670775,0.0494014283600219,0.0804646125029154,0.201161531257289,0.0212801074990516,68.3537506011502,0.2391463117381
"4","B73",67,"Proven",12.6666666666667,16.3333333333333,449.939079333333,3.51333333333333,15.8002488333333,5366.797928,1.7,91.7228916666667,3.44,7.2,45,71.7666666666667,1742734.94166667,3.66666666666667,10.785793124909,13.6503968196288,25.5871283469752,0.119303534454488,0.937792718341363,973.929126730655,0.088881944173156,21.6589097385789,0.274043792120894,0.264575131106459,1.65359456941537,0.230940107675854,411519.285032999,0.577350269189626,1.45521695615389,1.61019940458371,0.599294910272597,0.0316842448942102,0.118762622372486,6.54424349795764,0.0338965707378814,1.10788633341643,0.0746380546586964,0.0495294405489541,0.123823601372385,0.0136367290918577,152.711592315866,0.154700538379251
"5","NIL 1",0,"None",12.75,16.5,443.677264,3.2425,14.383307625,4751.83797125,1.505,71.87450625,3.23,7.575,47.34375,71.9,1365615.61875,2.5,8.99536917900909,12.2882057274445,83.8413142027416,0.0411298755975102,2.67853251181894,387.019643417714,0.237557010701291,15.9014277527829,0.148996644257514,0.665206734782504,4.15754209239065,0.408248290463864,302127.127302874,1.29099444873581,1.46771884507952,1.79235171765698,1.91570150009472,0.0114335395281225,0.339997433576639,2.78002080811987,0.0980703163231568,0.913543114448631,0.0416575816068942,0.123344358549438,0.308360896373595,0.0240430163392782,125.923228266963,0.430448825334461
"6","NIL 1",67,"None",14,18.5,437.414514625,3.4825,15.195923875,4460.31049025,1.8375,81.8780925,3.11,8.525,53.28125,71.475,1555683.7575,2.25,7.87400787401181,9.9498743710662,68.3463139679551,0.0970824391947379,1.95404106248774,780.711146088111,0.135984067694222,15.2889582493628,0.252586618806302,0.660176744011279,4.12610465007049,0.0957427107756284,290490.206737893,0.5,1.17615806346689,1.27028153253071,1.60486545506606,0.0260029693032422,0.246235897544497,5.82003004171227,0.0500886326783364,0.838229104428862,0.0723035217705174,0.112465104168595,0.281162760421488,0.00566156660165087,115.541908408684,0.158918622597891
"7","NIL 1",67,"Proven",14.25,18.5,451.1084995,3.495,15.70871275,4547.7423945,1.9225,87.3702575,3.1225,8.425,52.65625,71.525,1660034.8925,2.25,7.9320026895272,10.1488915650922,80.0554211047689,0.156311654502578,2.5363343796135,809.866117939035,0.294773924672225,20.9884462402487,0.307394968512282,0.386221007541882,2.41388129713676,0.665206734782506,398780.478564725,0.957427107756338,1.0743354765671,1.20318479626611,1.8774595410454,0.0415759906446252,0.313219351933266,5.99856374279463,0.109430165158796,1.11450650269523,0.0885817820257746,0.0666117312314865,0.166529328078716,0.0393850959256867,153.624119676727,0.347060354242792
