sample-id,Genotypes,N dosages,Inoculants,Growth stage,Rep
NREC22_4013_S2_Inbred: B73 N: 60 IF: None,B73,N:67,None,VT,4
NREC22_4014_S1_Inbred: BNI NIL 2 N: 0 IF: None,NIL 2,N:0,None,V8,1
NREC22_4014_S2_Inbred: BNI NIL 2 N: 0 IF: None,NIL 2,N:0,None,VT,2
NREC22_4015_S1_Inbred: BNI NIL 1 N: 60 IF: None,NIL 1,N:67,None,V8,3
NREC22_4015_S2_Inbred: BNI NIL 1 N: 60 IF: None,NIL 1,N:67,None,VT,4
NREC22_4016_S1_Inbred: BNI NIL 1 N: 0 IF: Proven,NIL 1,N:0,Proven,V8,1
NREC22_4016_S2_Inbred: BNI NIL 1 N: 0 IF: Proven,NIL 1,N:0,Proven,VT,2
NREC22_4017_S1_Inbred: B73 N: 0 IF: Proven,B73,N:0,Proven,V8,1
NREC22_4017_S2_Inbred: B73 N: 0 IF: Proven,B73,N:0,Proven,VT,2
NREC22_4018_S1_Inbred: B73 N: 60 IF: Proven,B73,N:0,Proven,V8,1
NREC22_4018_S2_Inbred: B73 N: 60 IF: Proven,B73,N:0,Proven,VT,2
NREC22_5001_S1_Inbred: BNI NIL 1 N: 60 IF: Proven,B73,N:67,Proven,V8,1
NREC22_5001_S2_Inbred: BNI NIL 1 N: 60 IF: Proven,B73,N:67,Proven,VT,2
NREC22_5002_S1_Inbred: B73 N: 60 IF: Proven,NIL 1,N:67,Proven,V8,1
NREC22_5002_S2_Inbred: B73 N: 60 IF: Proven,NIL 1,N:67,Proven,VT,2
NREC22_5003_S1_Inbred: B73 N: 0 IF: None,B73,N:0,None,V8,3
NREC22_5003_S2_Inbred: B73 N: 0 IF: None,B73,N:0,None,VT,4
NREC22_5006_S1_Inbred: B73 N: 0 IF: Proven,B73,N:0,Proven,V8,3
NREC22_5006_S2_Inbred: B73 N: 0 IF: Proven,B73,N:0,Proven,VT,4
NREC22_5007_S1_Inbred: BNI NIL 1 N: 0 IF: None,NIL 1,N:0,None,V8,1
NREC22_5007_S2_Inbred: BNI NIL 1 N: 0 IF: None,NIL 1,N:0,None,VT,2
NREC22_5010_S1_Inbred: BNI NIL 2 N: 0 IF: None,NIL 2,N:0,None,V8,3
NREC22_5010_S2_Inbred: BNI NIL 2 N: 0 IF: None,NIL 2,N:0,None,VT,4
NREC22_5013_S1_Inbred: B73 N: 0 IF: None,B73,N:0,None,V8,1
NREC22_5013_S2_Inbred: B73 N: 0 IF: None,B73,N:0,None,VT,2
NREC22_5014_S1_Inbred: BNI NIL 2 N: 60 IF: None,NIL 2,N:67,None,V8,3
NREC22_5014_S2_Inbred: BNI NIL 2 N: 60 IF: None,NIL 2,N:67,None,VT,4
NREC22_5015_S1_Inbred: BNI NIL 1 N: 60 IF: Proven,NIL 1,N:67,Proven,V8,1
NREC22_5015_S2_Inbred: BNI NIL 1 N: 60 IF: Proven,NIL 1,N:67,Proven,VT,2
NREC22_5016_S1_Inbred: BNI NIL 2 N: 0 IF: None,NIL 2,N:0,None,V8,3
NREC22_5016_S2_Inbred: BNI NIL 2 N: 0 IF: None,NIL 2,N:0,None,VT,4
NREC22_5017_S1_Inbred: BNI NIL 2 N: 0 IF: Proven,NIL 2,N:0,Proven,V8,1
NREC22_5017_S2_Inbred: BNI NIL 2 N: 0 IF: Proven,NIL 2,N:0,Proven,VT,2
NREC22_5018_S1_Inbred: BNI NIL 1 N: 60 IF: None,NIL 1,N:67,None,V8,3
NREC22_5018_S2_Inbred: BNI NIL 1 N: 60 IF: None,NIL 1,N:67,None,VT,4
